deptid	subject_dept	acad_dept	dept_group	div	subject
227000	Nuclear Engr & Radiological Sci	Engineering	COLLEGE_ENGINEERING	E	NERS
227100	Design Science Program	Rackham	COLLEGE_ENGINEERING	S	DESCI
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	PHYSACOU
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	NEUBEHS
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	RADIOL
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	INFLXMED
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	INTERPHA
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	MEDPH
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	FAMMED
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	EMERGMED
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	PHYSMED
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	CLININST
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	MEDELECT
230000	Medical School	Medicine	MEDICAL_SCHOOL	P	CLNHLSC
230059	Cancer Biology Graduate Program	Medicine	MEDICAL_SCHOOL	S	CANCBIO
231000	Medical School Administration	Medicine	MEDICAL_SCHOOL	SS	MEDICINE
231000	Medical School Administration	Medicine	MEDICAL_SCHOOL	SS	MEDADM
231000	Medical School Administration	Medicine	MEDICAL_SCHOOL	SS	IMMUNO
231000-SR	Program in Biomedical Sciences	Medicine	 	S	PIBS
231050	Cellular and Molecular Biology	Literature, Science & the Arts	MEDICAL_SCHOOL	S	CMBIOL
231350	Bioinformatics	Medicine	MEDICAL_SCHOOL	S	BIOINF
232000	Cell and Developmental Biology	Medicine	MEDICAL_SCHOOL	S	ANAT
232000	Cell and Developmental Biology	Medicine	MEDICAL_SCHOOL	S	CDB
233000	NA	NA	NA	NA	ANESTH
234000	Biological Chemistry Departmen	Medicine	MEDICAL_SCHOOL	S	BIOLCHEM
235000	NA	NA	NA	NA	DERM
236000	Human Genetics Department	Medicine	MEDICAL_SCHOOL	S	HUMGEN
237000	Internal Medicine Department	Medicine	MEDICAL_SCHOOL	S	INTMED
239800	Int Med-General Medicine	Medicine	MEDICAL_SCHOOL	S	HHCR
245000	Microbiology And Immunology	Medicine	MEDICAL_SCHOOL	S	MICRBIOL
246000	Neurology Department	Medicine	MEDICAL_SCHOOL	S	NEUROL
247000	NA	NA	NA	NA	OBSTGYN
248000	Ophthalmology Department	Medicine	MEDICAL_SCHOOL	S	OPHTH
249000	NA	NA	NA	NA	OTO
251000	Pathology Department	Medicine	MEDICAL_SCHOOL	S	PATH
252000	NA	NA	NA	NA	PEDIAT
253000	Pharmacology Department	Medicine	MEDICAL_SCHOOL	S	PHRMACOL
254000	Physical Medicine & Rehab Dept	Medicine	MEDICAL_SCHOOL	S	PMR
257000	Physiology Department	Medicine	MEDICAL_SCHOOL	S	PHYSIOL
258000	Pg Medicine & Hlth Prof Edu De	Medicine	MEDICAL_SCHOOL	SS	PGMED
258000	Pg Medicine & Hlth Prof Edu De	Medicine	MEDICAL_SCHOOL	SS	MEDEDUC
258600	Division of Anatomical Science	Medicine	MEDICAL_SCHOOL	S	ANATOMY
260000	NA	NA	NA	NA	PSYCHIAT
301500	NA	NA	NA	NA	RADONCO
302000	NA	NA	NA	NA	SURGERY
303000	Neurosurgery	Medicine	MEDICAL_SCHOOL	S	NEUSURG
304000	NA	NA	NA	NA	ORTHSURG
305500	NA	NA	NA	NA	UROLOGY
307000	Center For Neuroscience	Medicine	MEDICAL_SCHOOL	S	NEUROSCI
372100	College of Architecture & Urban Planning	Architecture & Urban Planning	COLL_ARCH_URN_PLN	O	UD
372100	College of Architecture & Urban Planning	Architecture & Urban Planning	COLL_ARCH_URN_PLN	O	UP
372100	College of Architecture & Urban Planning	Architecture & Urban Planning	COLL_ARCH_URN_PLN	O	ARCH
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	INTPERF
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	ARTDES
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	MEDILLUS
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	UARTS
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	ARTEDD
373000	School Of Art And Design	Stamps School of Art & Design	SCHOOL_ART_DESIGN	H	ADABRD
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	IB
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	CSIB
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	MKT
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	CS
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	TO
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	WMBA
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	OMS
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	EMBA
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	FIN
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	PC
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	RE
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BA
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	MO
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	OB
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BIT
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	OM
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	ACC
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BCOM
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BUSABRD
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	STRATEGY
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	ES
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	INSUR
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	LHC
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	SMS
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BL
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	CIS
380000	School of Business Administration	Ross School of Business	SCHOOL_BUS_ADMIN	P	BE
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORTHO
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	PROSTHOD
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DHYGRACK
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ENDODONT
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORALSURG
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DENTTHER
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	PGDENT
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	PERIODON
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	RESTORA
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORALHEAL
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DENTMAT
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DENT
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORALPATH
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	HOSPDENT
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORALBIOL
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DENTPROS
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	BIOMATLS
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	DENTED
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	ORALDIAG
390000	School Of Dentistry	Dentistry	SCHOOL_DENTISTRY	P	PEDDENT
393500	Dental Hygiene-Dentistry	Dental Hygiene	SCHOOL_DENTISTRY	P	DENTHYG
393500	Dental Hygiene-Dentistry	Dental Hygiene	SCHOOL_DENTISTRY	P	HYGDCE
393500	Dental Hygiene-Dentistry	Dental Hygiene	SCHOOL_DENTISTRY	P	HYGDCC
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDBEHAVR
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDUC
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDCOMMDV
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDSPCL
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDADMIN
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDCURINS
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDOCCUP
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDSPCHR
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDPHYS
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDPROF
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDSOCPSY
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDGUID
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDSOCIAL
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDCONT
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDHIGHER
405000	School Of Education	Education	SCHOOL_EDUCATION	SS	EDINDSTD
410000	Law School	Law	LAW_SCHOOL	P	LAW
415000	School of Information	Information	SCHOOL_INFORMATION	S	SI
416000	Air Force Officer Education Pg	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	O	AERO
417000	Army Officer Education Program	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	O	MILSCI
418000	Navy Officer Education Program	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	O	NAVSCI
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	WINDINST
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	ORGAN
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	TUBA
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	FRENHORN
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	SAX
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	MUSHON
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	EARLYMUS
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	CELLO
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	BARVIOLA
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	VIOLA
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	THEORY
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	SHAWM
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	SACKBUT
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	OBOE
420000	School of Music, Theatre and Dance	Music, Theatre & Dance	SCHOOL_MUSIC	H	OPERA
