"SUBJECT"	"SUBJECT_EFFDT"	"SUBJECT_EFF_STATUS"	"SUBJECT_DESCR"	"SUBJECT_DESCRSHORT"	"DEPTID"	"DEPT_DESCRSHORT"	"DEPT_DESCRFORMAL"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"
"ANCBIBL"	01-JAN-01	"A"	"Ancient And Biblical Studies"	"Anc Bibl"	"183500"	"N East Std"	"Near Eastern Studies Department"	"05.0108"	"Near and Middle Eastern Studie"	"Near and Middle Eastern Studies"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"ANESTH"	01-JAN-01	"A"	"Anesthesia"	"Anesth"	"233000"	"Anesthesio"	"Anesthesiology Department"	"60.0203"	"Anesthesiology"	"Anesthesiology"	"60.00"	"MEDICINE"	"MEDICINE"
"ANTHRARC"	01-JAN-01	"A"	"Anthropological Archaeology"	"Anthr Arc"	"172000"	"Anthropolo"	"Anthropology Department"	"45.0301"	"Archeology"	"Archeology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"ANTHRBIO"	01-JAN-01	"A"	"Anthropology,Biological"	"Anthr Bio"	"172000"	"Anthropolo"	"Anthropology Department"	"45.0202"	"Physical Anthropology"	"Physical Anthropology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"ANTHRCUL"	01-JAN-01	"A"	"Anthropology,Cultural"	"Anthr Cul"	"172000"	"Anthropolo"	"Anthropology Department"	"45.0299"	"Anthropology, Other"	"Anthropology, Other"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"AOSS"	01-JAN-01	"A"	"Atmos, Oceanic & Space Sci"	"Ao&Ss"	"224000"	"Atm, Ocean"	"Atm, Oceanic And Space Science"	"40.0401"	"Atmospheric Sciences and Meteo"	"Atmospheric Sciences and Meteorology, General"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"APPPHYS"	01-JAN-01	"A"	"Applied Physics"	"Apphysics"	"184600"	"Applied Ph"	"Applied Physics Program"	"40.0801"	"Physics, General"	"Physics, General"	"19.99"	"OTHER, PHYSICAL SCIENCES"	"OTHER, PHYSICAL SCIENCES"
"ARABAM"	01-JAN-01	"A"	"Arab American Studies"	"Ar Am Std"	"193000"	"American C"	"American Culture Program"	"05.0199"	"Area Studies, Other"	"Area Studies, Other"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"ARABIC"	01-JAN-01	"A"	"Arabic Studies"	"Arabic"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1101"	"Arabic Language and Literature"	"Arabic Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"ARCH"	01-JAN-01	"A"	"Architecture"	"Arch"	"372100"	"A & UP"	"College of Architecture & Urban Planning"	"04.0201"	"Architecture (BArch, BA/BS, MA"	"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)"	"02.00"	"ARCHITECTURE UNCLASSIFID"	"ARCHITECTURE UNCLASSIFID"
"ARMENIAN"	01-JAN-01	"A"	"Armenian Studies"	"Armenian"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1599"	"Turkic, Ural-Altaic, Caucasian"	"Turkic, Ural-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other"	"11.10"	"GREEK-CLASSICAL"	"GREEK-CLASSICAL"
"ARTDES"	01-JAN-01	"A"	"Art and Design"	"Art&Des"	"373000"	"ART"	"School Of Art And Design"	"50.0701"	"Art/Art Studies, General"	"Art/Art Studies, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ARTEDD"	01-JAN-01	"A"	"Art Education D"	"Art Ed D"	"373000"	"ART"	"School Of Art And Design"	"13.1302"	"Art Teacher Education"	"Art Teacher Education"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ARTSADMN"	01-JAN-01	"A"	"Arts Administration"	"Arts Admn"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0909"	"Music Management and Merchandi"	"Music Management and Merchandising"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ASIAN"	01-JAN-01	"A"	"Asian Studies"	"Asian"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"05.0103"	"Asian Studies/Civilization"	"Asian Studies/Civilization"	"03.00"	"AREA STUDIES UNCLASSIFID"	"AREA STUDIES UNCLASSIFID"
"ASIANLAN"	01-JAN-01	"A"	"Asian Languages"	"Asian Lang"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"16.0300"	"East Asian Languages, Literatu"	"East Asian Languages, Literatures, and Linguistics, General"	"11.99"	"OTHER, FOREIGN LANGUAGES"	"OTHER, FOREIGN LANGUAGES"
"ASIANPAM"	01-JAN-01	"A"	"Asian/Pacific Island Amer Std"	"As Pac Am"	"193000"	"American C"	"American Culture Program"	"05.0199"	"Area Studies, Other"	"Area Studies, Other"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"ASTRO"	01-JAN-01	"A"	"Astronomy"	"Astronomy"	"172500"	"Astronomy"	"Astronomy Department"	"40.0201"	"Astronomy"	"Astronomy"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"AT"	01-JAN-01	"A"	"Athletic Training"	"Athlet Tr"	"450000"	"KINES"	"School Of Kinesiology"	"51.0913"	"Athletic Training/Trainer"	"Athletic Training/Trainer"	"08.35"	"PHYSICAL ED METHODOLOGY"	"PHYSICAL ED METHODOLOGY"
"AUTO"	01-JAN-01	"A"	"Automotive Engineering Program"	"Auto"	"210503"	"Int Sys&De"	"Integrative Systems and Design"	"14.2701"	"Systems Engineering"	"Systems Engineering"	"09.99"	"ENGINEERING OTHER"	"ENGINEERING OTHER"
"BA"	01-JAN-01	"A"	"Business Administration"	"Bus Adm"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"BARCELLO"	01-JAN-01	"A"	"Baroque Cello"	"Bar Cello"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0911"	"Violin, Viola, Guitar and Othe"	"Violin, Viola, Guitar and Other Stringed Instruments"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"BARFLUTE"	01-JAN-01	"A"	"Baroque Flute"	"Bar Flute"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"BAROBOE"	01-JAN-01	"A"	"Baroque Oboe"	"Bar Oboe"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"BAROQVIO"	01-JAN-01	"A"	"Baroque Violin"	"BarViolin"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"BARVIOLA"	01-JAN-01	"A"	"Baroque Viola"	"Bar Viola"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"BASSOON"	01-JAN-01	"A"	"Bassoon"	"Bassoon"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"BCOM"	01-JAN-01	"A"	"Business Communication"	"Bus Comm"	"380000"	"BUS AD"	"School of Business Administration"	"52.0501"	"Business/Corporate Communicati"	"Business/Corporate Communications"	"05.01"	"BUSINESS & COMMERCE- GEN"	"BUSINESS & COMMERCE- GEN"
"BCS"	01-JAN-01	"A"	"Bosnian/Croatian/Serbian"	"BCS"	"187000"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"16.0408"	"Serbian, Croatian, and Serbo-C"	"Serbian, Croatian, and Serbo-Croatian Languages and Literatures"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"BE"	01-JAN-01	"A"	"Business Econ & Public Policy"	"Bus Econ"	"380000"	"BUS AD"	"School of Business Administration"	"52.0601"	"Business/Managerial Economics"	"Business/Managerial Economics"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"BIOINF"	01-JAN-01	"A"	"Bioinformatics"	"Bioinforma"	"231350"	"Bioinforma"	"Bioinformatics"	"26.1103"	"Bioinformatics"	"Bioinformatics"	"60.00"	"MEDICINE"	"MEDICINE"
"BIOLCHEM"	01-JAN-01	"A"	"Biological Chemistry"	"Biol Chem"	"234000"	"Biological"	"Biological Chemistry Departmen"	"26.0202"	"Biochemistry"	"Biochemistry"	"60.00"	"MEDICINE"	"MEDICINE"
"BIOLOGY"	01-JAN-01	"A"	"Biology"	"Biology"	"188900"	"Biology De"	"Biology Department"	"26.0101"	"Biology/Biological Sciences, G"	"Biology/Biological Sciences, General"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"BIOMATLS"	01-JAN-01	"A"	"Biomaterials"	"Biomatls"	"390000"	"DENT"	"School Of Dentistry"	"51.0505"	"Dental Materials (MS, PhD)"	"Dental Materials (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"BIOMEDE"	01-JAN-01	"A"	"Biomedical Engineering"	"Biomed E"	"210600"	"Biomedical"	"Biomedical Engineering"	"14.0501"	"Biomedical/Medical Engineering"	"Biomedical/Medical Engineering"	"09.05"	"BIO- BIOMEDICAL ENGINRNG"	"BIO- BIOMEDICAL ENGINRNG"
"BIOPHYS"	01-JAN-01	"A"	"Biophysics"	"Biophysic"	"554000"	"Biophysics"	"Biophysics Research Division"	"26.0203"	"Biophysics"	"Biophysics"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"BIOSTAT"	01-JAN-01	"A"	"Biostatistics"	"Biostat"	"456000"	"Biostatist"	"Biostatistics Department"	"26.1102"	"Biostatistics"	"Biostatistics"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"BIT"	01-JAN-01	"A"	"Business Information Technolog"	"BIT"	"380000"	"BUS AD"	"School of Business Administration"	"11.0103"	"Information Technology"	"Information Technology"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"BL"	01-JAN-01	"A"	"Business Law"	"Bus Law"	"380000"	"BUS AD"	"School of Business Administration"	"52.9999"	"Business, Management, Marketin"	"Business, Management, Marketing, and Related Support Services, Other"	"05.01"	"BUSINESS & COMMERCE- GEN"	"BUSINESS & COMMERCE- GEN"
"BOTANY"	02-MAY-00	"I"	"Botany"	"Botany"	"188900"	"Biology De"	"Biology Department"	"26.0301"	"Botany/Plant Biology"	"Botany/Plant Biology"	"04.02"	"BOTANY GENERAL"	"BOTANY GENERAL"
"BUDDHST"	01-JAN-01	"A"	"Buddhist Studies"	"Budht Std"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"38.0202"	"Buddhist Studies"	"Buddhist Studies"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"BUSABRD"	01-JAN-01	"A"	"Business Abroad"	"Bus Abroad"	"380000"	"BUS AD"	"School of Business Administration"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"CAAS"	01-JAN-01	"A"	"Afroamerican & African Studies"	"Afroamer"	"190300"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"05.0201"	"African-American/Black Studies"	"African-American/Black Studies"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"CANCBIO"	01-JAN-01	"A"	"Cancer Biology"	"Canc Biol"	"230059"	"Cancer Bio"	"Cancer Biology Graduate Program"	"26.0911"	"Oncology and Cancer Biology"	"Oncology and Cancer Biology"	"60.00"	"MEDICINE"	"MEDICINE"
"CARILLON"	01-JAN-01	"A"	"Carillon"	"Carillon"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"CCP"	01-JAN-01	"A"	"College Community Program"	"Col Cm Pr"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"45.9999"	"Social Sciences, Other"	"Social Sciences, Other"	"49.00"	"INTERDISC UNCLASSIFIED"	"INTERDISC UNCLASSIFIED"
"CCS"	01-JAN-01	"A"	"Chinese Studies"	"CCS"	"191000"	"Ctr Chines"	"Center For Chinese Studies"	"05.0104"	"East Asian Studies"	"East Asian Studies"	"03.01"	"ASIAN STUDIES-GENERAL"	"ASIAN STUDIES-GENERAL"
"CDB"	01-JAN-01	"A"	"Cell and Developmental Biology"	"CDB"	"232000"	"CellDvBiol"	"Cell and Developmental Biology"	"26.0499"	"Cell/Cellular Biology and Anat"	"Cell/Cellular Biology and Anatomical Sciences, Other"	"60.00"	"MEDICINE"	"MEDICINE"
"CEE"	01-JAN-01	"A"	"Civil & Environmental Engin"	"Cee"	"215000"	"Civil & En"	"Civil & Environmental Engr"	"14.0801"	"Civil Engineering, General"	"Civil Engineering, General"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"CELLO"	01-JAN-01	"A"	"Cello"	"Cello"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0911"	"Violin, Viola, Guitar and Othe"	"Violin, Viola, Guitar and Other Stringed Instruments"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"CHE"	01-JAN-01	"A"	"Chemical Engineering"	"Ch E"	"213000"	"Chemical E"	"Chemical Engineering Department"	"14.0701"	"Chemical Engineering"	"Chemical Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"CHEM"	01-JAN-01	"A"	"Chemistry"	"Chem"	"173500"	"Chemistry"	"Chemistry Department"	"40.0501"	"Chemistry, General"	"Chemistry, General"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"CHEMBIO"	01-JAN-01	"A"	"Chemical Biology"	"Chem Biol"	"490000"	"RACK"	"Graduate School"	"40.0599"	"Chemistry, Other"	"Chemistry, Other"	"63.00"	"PHARMACY"	"PHARMACY"
"CHIN"	01-JAN-01	"A"	"Chinese"	"Chin"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"16.0301"	"Chinese Language and Literatur"	"Chinese Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"CHLDY"	29-APR-08	"I"	"Child & Youth In Famil & Soc"	"Child&Yth"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"CHLFHLT"	02-MAY-00	"I"	"Child & Family Health"	"CHLFHLT"	"455000"	"PUB HL"	"School Of Public Health"	"51.0701"	"Health/Health Care Administrat"	"Health/Health Care Administration/Management"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"CHURCHMU"	01-JAN-01	"A"	"Church Music"	"ChurchMus"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"CIC"	01-JAN-01	"A"	"CIC Traveling Scholars"	"CIC"	"517500"	"Registrar"	"Registrar's Office"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"CICE"	02-MAY-00	"I"	"Comp Information & Control Eng"	"Comp Infor"	"210000"	"ENGIN"	"College Of Engineering"	"14.0901"	"Computer Engineering, General"	"Computer Engineering, General"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"CICS"	01-JAN-01	"A"	"International Comparative Std"	"Int Com St"	"190000"	"Inter Inst"	"International Institute"	"30.2001"	"International/Global Studies"	"International/Global Studies"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"CIS"	04-MAY-04	"I"	"Computer Information Systems"	"Cmpt Info"	"380000"	"BUS AD"	"School of Business Administration"	"11.0103"	"Information Technology"	"Information Technology"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"CJS"	01-JAN-01	"A"	"Japanese Studies"	"CJS"	"192000"	"Ctr JapanS"	"Center For Japanese Studies"	"05.0104"	"East Asian Studies"	"East Asian Studies"	"03.02"	"EAST ASIAN STUDIES"	"EAST ASIAN STUDIES"
"CLARCH"	01-JAN-01	"A"	"Classical Archaeology"	"Cl Arch"	"174000"	"Classical"	"Classical Studies Department"	"30.2202"	"Classical, Ancient Mediterrane"	"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"CLARINET"	01-JAN-01	"A"	"Clarinet"	"Clarinet"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"CLASSTD"	08-JAN-97	"I"	"Classical Studies"	"Class Std"	"517500"	"Registrar"	"Registrar's Office"	"16.1201"	" "	" "	"15.04"	"CLASSICS"	"CLASSICS"
"CLCIV"	01-JAN-01	"A"	"Classical Civilization"	"Cl Civilz"	"174000"	"Classical"	"Classical Studies Department"	"30.2201"	"Ancient Studies/Civilization"	"Ancient Studies/Civilization"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"CLININST"	01-JAN-01	"A"	"Clinical Instruction"	"Clin Inst"	"230000"	"Medical Sc"	"Medical School"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"CLLING"	01-JAN-01	"A"	"Classical Linguistics"	"Cl Ling"	"174000"	"Classical"	"Classical Studies Department"	"16.1200"	"Classics and Languages, Litera"	"Classics and Languages, Literatures and Linguistics, General"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"CLNHLSC"	01-JAN-01	"A"	"Clinical Health Sciences"	"Cln Hlth"	"230000"	"Medical Sc"	"Medical School"	"51.1401"	"Medical Scientist (MS, PhD)"	"Medical Scientist (MS, PhD)"	"60.00"	"MEDICINE"	"MEDICINE"
"CMBIOL"	01-JAN-01	"A"	"Cellular And Molecular Biology"	"C M Biol"	"231050"	"Cl&Mol Bio"	"Cellular and Molecular Biology"	"26.0406"	"Cell/Cellular and Molecular Bi"	"Cell/Cellular and Molecular Biology"	"60.00"	"MEDICINE"	"MEDICINE"
"CMPLXSYS"	01-JAN-01	"A"	"Complex Systems"	"CmplxSys"	"550400"	"Complex"	"Program Study of Complex Systems"	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"CMPTRSC"	01-JAN-01	"A"	"Computer Science"	"Cmptr Sc"	"174600"	"ComputerSc"	"Program In Computer Science"	"11.0101"	"Computer and Information Scien"	"Computer and Information Sciences, General"	"07.00"	"COMPUTER SCI UNCLASSIFD"	"COMPUTER SCI UNCLASSIFD"
"COGSCI"	01-JAN-01	"A"	"Cognitive Science"	"Cog Sci"	"181200"	"Linguistic"	"Department of Linguistics"	"30.2501"	"Cognitive Science"	"Cognitive Science"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"
"COLLEGE"	01-JAN-01	"A"	"College Courses"	"COLLEGE"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"COMM"	01-JAN-01	"A"	"Communication Studies"	"Comunctn"	"188300"	"Communicat"	"Communication Studies"	"09.0199"	"Communication and Media Studie"	"Communication and Media Studies, Other"	"06.99"	"OTHER, COMMUNICATIONS"	"OTHER, COMMUNICATIONS"
"COMMMNTL"	01-JAN-01	"A"	"Community Mental Health"	"Comm Mntl"	"455000"	"PUB HL"	"School Of Public Health"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"COMORG"	29-APR-08	"I"	"Community Organization"	"Comm Org"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"COMP"	01-JAN-01	"A"	"Composition"	"Comp"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0904"	"Music Theory and Composition"	"Music Theory and Composition"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"COMPLIT"	01-JAN-01	"A"	"Comparative Literature"	"Comp Lit"	"191400"	"Comparativ"	"Comparative Literature Program"	"16.0104"	"Comparative Literature"	"Comparative Literature"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"COMPOLIT"	01-JAN-01	"A"	"Composition Literature"	"Comp Lit"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0902"	"Music History, Literature, and"	"Music History, Literature, and Theory"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
