SUBJECT	SUBJECT_DESCR	DEPTID	DEPT_DESCRSHORT	DEPT_DESCRFORMAL	ACAD_GROUP	ACAD_GROUP_DESCR	DEPT_GRP	DEPT_GRP_DESCR	DEPT_GRP_VP_AREA	DEPT_GRP_VP_AREA_DESCR	DIVISION
PSYCH	Psychology	185500	Psychology	Psychology Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
PSYCH	Psychology	194700	Relig	Studies In Religion	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
RUSSIAN	Russian	187000	Slavic Lan	Slavic Languages & Lit Dept	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
REES	Russian & E European Stu	194000	CREEES	"Center for Russian, E. European & Eurasian Studies"	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
MICRBIOL	Microbiology	245000	Microbiolo	Microbiology And Immunology	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
NEUROSCI	Neuroscience	307000	Neuroscien	Center For Neuroscience	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
HUMGEN	Human Genetics	236000	Human Gene	Human Genetics Department	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
PHRMACOL	Pharmacology	253000	Pharmacolo	Pharmacology Department	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
COMM	Communication Studies	188300	Communicat	Communication Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
CMPTRSC	Computer Science	174600	ComputerSc	Program In Computer Science	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
CEE	Civil & Environmental Engin	215000	Civil & En	Civil & Environmental Engr	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
ANTHRCUL	"Anthropology,Cultural"	181200	Linguistic	Department of Linguistics	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
COMORG	Community Organization	465000	SOC WK	School Of Social Work	SW	Social Work	SCHOOL_SOCIAL_WORK	School of Social Work	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
GEOSCI	Geological Sciences	177000	Earth & En	Earth and Environmental Sciences	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
COMPLIT	Comparative Literature	191400	Comparativ	Comparative Literature Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
AMCULT	American Culture	179500	History Of	History Of Art Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
FILMVID	Film and Video Studies	191600	ScArts&Cul	Screen Arts and Cultures	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
ELI	English Language Institute	181500	ELI	English Language Institute	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
SOC	Sociology	186000	RESCO	College of L S & A Residential College	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
ARTDES	Art and Design	373000	ART	School Of Art And Design	ART	Stamps School of Art & Design	SCHOOL_ART_DESIGN	Stamps School of Art & Design	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
CMPLXSYS	Complex Systems	550400	Complex	Program Study of Complex Systems	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
ORALPATH	Oral Pathology	390000	DENT	School Of Dentistry	DEN	Dentistry	SCHOOL_DENTISTRY	School of Dentistry	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
SWC	Sweetland Writing Center	175600	S C F W	Sweetland Center for Writing	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
DANCE	Dance	431500	Department	Department Of Dance	MUS	"Music, Theatre & Dance"	SCHOOL_MUSIC	School of Music	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
THTREMUS	Theatre & Drama	433000	Theatre An	Theatre And Drama	MUS	"Music, Theatre & Dance"	SCHOOL_MUSIC	School of Music	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
AOSS	"Atmos, Oceanic & Space Sci"	224000	"Atm, Ocean"	"Atm, Oceanic And Space Science"	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
EDUC	Education	405000	EDUC	School Of Education	EDU	Education	SCHOOL_EDUCATION	School of Education	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
BIOLOGY	Biology	188900	Biology De	Biology Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
BIOPHYS	Biophysics	554000	Biophysics	Biophysics Research Division	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
HBEHED	Health Behavior & Health Educ	458300	Hlth Beh&H	Health Behavior & Health Education Department	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
HONORS	College Honors	180000	Honors Pro	Honors Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
MENAS	Middle Eastern & N African Stu	192500	MidE&NAf	Center for Middle Eastern & North African Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
MARC	Medieval & Renaiss Collegium	179000-SR	Med&EMS	Medieval and Early Modern Studies	LSA	"Literature, Science & the Arts"	 	 	 	 	H
NURS	Nursing	440000	NURS	School Of Nursing	NUR	Nursing	SCHOOL_NURSING	School of Nursing	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
AT	Athletic Training	450000	KINES	School Of Kinesiology	KIN	Kinesiology	SCHOOL_KINESIOLOGY	School of Kinesiology	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
UC	University Courses	171900	LS&A First	LS&A First Year Seminars	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
HMP	Health Management And Policy	455200	Health Man	Health Management And Policy	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
PHYSIOL	Physiology	257000	Physiology	Physiology Department	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
AERO	Air Force Officer Education	416000	AF O E	Air Force Officer Education Pg	OEP	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	VP Global & Engaged Education	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
MILSCI	Military Science	417000	AR O E	Army Officer Education Program	OEP	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	VP Global & Engaged Education	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
NAVSCI	Naval Science	418000	NA O E	Navy Officer Education Program	OEP	Officer Education Programs	VP_GLOBAL_ENGAGED_ED	VP Global & Engaged Education	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
CIC	CIC Traveling Scholars	517500	Registrar	Registrar's Office	LSA	"Literature, Science & the Arts"	AVP_ENROLL_MGMT	AVP Enrollment Management	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
SOC	Sociology	170400	Lloyd Hall	Lloyd Hall Scholars Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
RACKHAM	Rackham Graduate School	490000	RACK	Graduate School	RAC	Rackham	RACKHAM_GRAD_SCHOOL	Rackham Graduate School	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
HJCS	Hebrew & Jewish Cultural Stu	179100	Judaic Stu	Judaic Studies Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
ENGINSA	Engineering Study Abroad	210501	EnginStAbd	Engineering Study Abroad	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
MCDB	"Molec, Cell & Develop Biology"	189000	Molec	"Molecular, Cellular, and Developmental Biology"	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
MUSPRACT	Museum Practice	513200	Mus of Art	Museum of Art	LSA	"Literature, Science & the Arts"	VP_ACAD_GRAD_STUDY	VP Academic & Graduate Study	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
LAW	Law	410000	Law School	Law School	LAW	Law	LAW_SCHOOL	Law School	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
TCHNCLCM	Technical Communication	220000	Tech Comm	Technical Communication	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
MEDILLUS	Medical & Biolog Illustration	201000	Exhibit Mu	Exhibit Museum	ART	Stamps School of Art & Design	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
SURVMETH	Survey Methodology	585154	SRC-PSM Gr	SRC-PSM Graduate Program	LSA	"Literature, Science & the Arts"	INST_SOC_RESEARCH	Institute for Social Research	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
MATH	Mathematics	191200	Comprehens	Comprehensive Studies Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
INTMED	Internal Medicine	237000	Internal M	Internal Medicine Department	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
MEDADM	Medical School Administration	231000	Medical Sc	Medical School Administration	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	SS
BIOINF	Bioinformatics	231350	Bioinforma	Bioinformatics	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
EEB	Ecology & Evolutionary Biology	189100	Ecol & Ev	Ecology & Evolutionary Biology	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
BIOPHYS	Biophysics	231050	Cl&Mol Bio	Cellular and Molecular Biology	LSA	"Literature, Science & the Arts"	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
DENTHYG	Dental Hygiene	393500	Dental Hyg	Dental Hygiene-Dentistry	DH	Dental Hygiene	SCHOOL_DENTISTRY	School of Dentistry	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
UMOVE	U-Move	450000-SR	U-Move	U-Move	KIN	Kinesiology	 	 	 	 	O
APPPHYS	Applied Physics	184600	Applied Ph	Applied Physics Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
ORGSTUDY	Organizational Studies	174700	Org Study	Organizational Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
CICS	International Comparative Std	190000	Inter Inst	International Institute	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
DESCI	Design Science	227100	Design Sci	Design Science Program	RAC	Rackham	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
CCS	Chinese Studies	191000	Ctr Chines	Center For Chinese Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
INSTHUM	Institute For The Humanities	171100	Humanities	Humanities Institute	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
CANCBIO	Cancer Biology	230059	Cancer Bio	Cancer Biology Graduate Program	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
FINENG	Financial Engineering Program	210503	Int Sys&De	Integrative Systems and Design	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
PIBS	Biomedical Sciences	231000-SR	BiomedSci	Program in Biomedical Sciences	MED	Medicine	 	 	 	 	S
SEAS	Southeast Asian Studies	194500	SE Asian S	South East Asian Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
SAS	South Asian Studies	194400	S Asian St	South Asian Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
ANATOMY	Anatomy	258600	Anat Sci	Division of Anatomical Science	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
